,Unnamed: 0,X,Y,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME,Surface Cond Desc,Atmosph Cond Desc,no_male_driver,no_female_driver,avg_age_male,avg_age_female,year
1115,1115,144.18549344605947,-37.330478125306975,T20180013621,2018-07-20,9,No,Collision with vehicle,Friday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,T intersection,Fatal accident,80,No,Intersection,HEPBURN,WESTERN REGION,4,2,1,1,0,2,3,1,0,2,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country,Wet,Strong winds,2,0,75.0,,2018
1116,1116,144.70136329502213,-37.768460285784656,T20180012784,2018-07-08,0,Yes,Collision with vehicle,Sunday,HEAD ON(OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,80,No,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,10,5,2,3,0,5,4,3,0,4,3,0,0,0,3,0,0,0,0,0,Yes,0,3,0,3,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,2,1,44.0,39.0,2018
1117,1117,144.70136329502213,-37.768460285784656,T20180012784,2018-07-08,0,Yes,Collision with vehicle,Sunday,HEAD ON(OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,80,No,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,10,5,2,3,0,5,4,3,0,4,3,0,0,0,3,0,0,0,0,0,Yes,0,3,0,3,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,2,1,44.0,39.0,2018
1118,1118,145.7101091355362,-37.19359750674702,T20180012798,2018-07-08,9,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,50,Yes,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,Local Road,Local Road,Undivided,Undiv,Country,Wet,Raining,1,0,73.0,,2018
1119,1119,144.70268837835687,-36.86270978788532,T20180010981,2018-06-11,11,No,Collision with vehicle,Monday,OTHER OVERTAKING MANOEUVRES NOT INCLUDED IN DCAs 150-154,No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,BENDIGO,NORTHERN REGION,7,1,1,0,0,6,5,2,0,3,2,0,0,2,0,0,0,0,0,0,No,1,4,0,2,2,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,3,1,51.33333333333334,65.0,2018
1120,1120,145.08912440462626,-38.23400637757928,T20180010991,2018-06-11,10,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,1,0,0,0,Arterial Highway,Arterial Highway,Divided,Div,Metro,Dry,Clear,1,0,61.0,,2018
1121,1121,144.32978244935418,-38.14098040332821,T20170023468,2017-12-08,15,No,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Cross intersection,Fatal accident,60,No,Intersection,GEELONG,SOUTH WESTERN REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,0,0,1,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,65.0,,2017
1122,1122,144.87550376461868,-37.568180465708814,T20180003753,2018-02-26,21,Yes,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Dark No street lights,Not at intersection,Fatal accident,60,No,Non-Intersection,HUME,METROPOLITAN NORTH WEST REGION,4,3,1,0,2,1,3,1,0,0,3,1,0,0,0,0,0,0,0,1,No,0,3,0,3,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,2,1,29.0,59.0,2018
1123,1123,145.74166678561986,-38.12287061615532,T20180003347,2018-02-21,8,No,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,18.0,,2018
1124,1124,145.2518242829413,-37.92727181221599,T20180002925,2018-02-15,11,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Cross intersection,Fatal accident,80,Yes,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2,2,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro,Dry,Clear,1,1,33.0,27.0,2018
1125,1125,143.69255270718278,-38.041937318603466,T20180002930,2018-02-15,9,No,Collision with a fixed object,Thursday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,40,Yes,Non-Intersection,COLAC OTWAY,SOUTH WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,92.0,,2018
1126,1126,145.41271115956863,-37.57662006789316,T20180002987,2018-02-16,5,Yes,Collision with vehicle,Friday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,80,No,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,3,1,1,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,No,0,3,1,2,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Metro,Wet,Clear,3,0,46.0,,2018
1127,1127,144.99969528807645,-37.81590295448692,T20180003432,2018-02-22,16,No,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Cross intersection,Fatal accident,40,No,Non-Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,0,1,,24.0,2018
1128,1128,143.7073000762173,-38.31184318386806,T20180002129,2018-02-03,14,Yes,Collision with vehicle,Saturday,HEAD ON(OVERTAKING),No,Day,Not at intersection,Fatal accident,80,No,Non-Intersection,COLAC OTWAY,SOUTH WESTERN REGION,5,1,1,0,0,4,5,0,0,2,2,0,0,1,0,0,0,0,0,0,No,0,3,0,2,1,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,3,0,53.0,,2018
1129,1129,143.25704978039875,-38.74491006694657,T20180003453,2018-02-22,15,No,Collision with a fixed object,Thursday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,80,Yes,Non-Intersection,COLAC OTWAY,SOUTH WESTERN REGION,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,52.0,,2018
1130,1130,144.35867431126502,-38.084169232471275,T20180002654,2018-02-11,23,Yes,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Multiple intersection,Fatal accident,80,No,Intersection,GEELONG,SOUTH WESTERN REGION,3,3,2,1,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,No,1,2,0,2,0,0,Arterial Highway,"Arterial Highway,Arterial Other",Divided,"Div,Undiv",Country,Dry,Clear,2,0,38.0,,2018
1131,1131,144.35867431126502,-38.084169232471275,T20180002654,2018-02-11,23,Yes,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Multiple intersection,Fatal accident,80,No,Intersection,GEELONG,SOUTH WESTERN REGION,3,3,2,1,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,No,1,2,0,2,0,0,Arterial Highway,"Arterial Highway,Arterial Other",Divided,"Div,Undiv",Country,Dry,Clear,2,0,38.0,,2018
1132,1132,145.41580345744643,-36.360219802982066,T20180003099,2018-02-17,21,Yes,Collision with vehicle,Saturday,RIGHT FAR (INTERSECTIONS ONLY),No,Dark Street lights on,T intersection,Fatal accident,60,No,Intersection,SHEPPARTON,NORTH EASTERN REGION,2,2,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,1,37.0,32.0,2018
1133,1133,142.0546092670593,-36.801929200011934,T20180002258,2018-02-05,14,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,HORSHAM,WESTERN REGION,4,4,1,2,1,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,68.0,,2018
1134,1134,145.61520213852486,-37.96301086358594,T20180003144,2018-02-18,12,No,Collision with vehicle,Sunday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,50,No,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,8,1,1,0,0,7,5,3,0,5,1,0,0,2,0,0,0,0,0,1,No,0,3,0,1,2,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,3,0,30.66666666666667,,2018
1135,1135,145.65577190164527,-38.07205228941864,T20180003159,2018-02-18,18,Yes,Collision with vehicle,Sunday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Day,Not at intersection,Fatal accident,100,No,Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,3,3,1,2,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Freeway,"Freeway,Local Road",Divided,"Div,Undiv",Metro,Dry,Clear,0,2,,48.5,2018
1136,1136,145.9550148737079,-38.563607233353046,T20180009962,2018-05-26,5,Yes,Collision with a fixed object,Saturday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,50.0,,2018
1137,1137,145.4158496176545,-38.076521682187476,T20180009188,2018-05-15,11,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,2,2,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,1,1,0,0,Freeway,Freeway,Divided,Div,Metro,Wet,Raining,2,0,56.5,,2018
1138,1138,146.53327814832613,-38.19581391399701,T20180009568,2018-05-21,6,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dusk/Dawn,Cross intersection,Fatal accident,60,No,Intersection,LATROBE,EASTERN REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,No,0,1,0,0,0,0,Local Road,Local Road,Undivided,Undiv,Country,Wet,Clear,1,0,19.0,,2018
1139,1139,144.9231898764109,-37.80243073507563,T20180009615,2018-05-21,14,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,70,Yes,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Wet,Clear,1,0,23.0,,2018
1140,1140,143.85900916625351,-37.562227376594905,T20180008784,2018-05-09,11,No,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,T intersection,Fatal accident,40,No,Non-Intersection,BALLARAT,WESTERN REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Divided,Div,Country,Dry,Clear,0,1,,35.0,2018
1141,1141,145.92207461220164,-38.1000399215719,T20180008792,2018-05-09,14,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Cross intersection,Fatal accident,100,No,Intersection,BAW BAW,EASTERN REGION,2,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country,Dry,Clear,2,0,45.5,,2018
1142,1142,145.24364809123796,-37.85275314270806,T20180007511,2018-04-21,1,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),Yes,Dark Street lights on,Cross intersection,Fatal accident,80,No,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,4,4,2,0,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Arterial Other,Arterial Other,Divided,Div,Metro,Wet,Fog,1,1,19.0,32.0,2018
1143,1143,145.24364809123796,-37.85275314270806,T20180007511,2018-04-21,1,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),Yes,Dark Street lights on,Cross intersection,Fatal accident,80,No,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,4,4,2,0,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Arterial Other,Arterial Other,Divided,Div,Metro,Wet,Fog,1,1,19.0,32.0,2018
1144,1144,146.97937378639358,-37.96872205861153,T20180008855,2018-05-10,11,No,Collision with vehicle,Thursday,RIGHT TURN SIDESWIPE,No,Day,T intersection,Fatal accident,60,No,Non-Intersection,WELLINGTON,EASTERN REGION,2,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,1,83.0,40.0,2018
1145,1145,145.4164520064482,-37.55995996460055,T20180008488,2018-05-05,2,Yes,No collision and no object struck,Saturday,OFF CARRIAGEWAY ON RIGHT BEND,No,Dark No street lights,Not at intersection,Fatal accident,80,Yes,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2,2,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Metro,Dry,Clear,0,1,,52.0,2018
1146,1146,145.10311812044796,-37.89935188347982,T20180008895,2018-05-10,22,Yes,Collision with a fixed object,Thursday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Not at intersection,Fatal accident,80,Yes,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Arterial Highway,Arterial Highway,Divided,Div,Metro,Wet,Not known,1,0,19.0,,2018
1147,1147,144.7324794261582,-37.56629994342149,T20180008066,2018-04-29,16,Yes,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,T intersection,Fatal accident,60,No,Non-Intersection,HUME,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,Yes,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,50.0,,2018
1148,1148,145.0016523482036,-37.75229049900821,T20180008538,2018-05-05,14,Yes,Collision with vehicle,Saturday,RIGHT THROUGH,No,Day,Multiple intersection,Fatal accident,50,No,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,0,1,1,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,1,58.0,38.0,2018
1149,1149,143.11532641126175,-36.9053294358417,T20180008548,2018-05-05,18,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark No street lights,Cross intersection,Fatal accident,80,No,Intersection,NORTHERN GRAMPIANS,WESTERN REGION,5,5,4,1,0,0,0,5,0,3,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country,Dry,Clear,0,2,,69.5,2018
1150,1150,143.11532641126175,-36.9053294358417,T20180008548,2018-05-05,18,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark No street lights,Cross intersection,Fatal accident,80,No,Intersection,NORTHERN GRAMPIANS,WESTERN REGION,5,5,4,1,0,0,0,5,0,3,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country,Dry,Clear,0,2,,69.5,2018
1151,1151,143.11532641126175,-36.9053294358417,T20180008548,2018-05-05,18,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark No street lights,Cross intersection,Fatal accident,80,No,Intersection,NORTHERN GRAMPIANS,WESTERN REGION,5,5,4,1,0,0,0,5,0,3,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country,Dry,Clear,0,2,,69.5,2018
1152,1152,143.11532641126175,-36.9053294358417,T20180008548,2018-05-05,18,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark No street lights,Cross intersection,Fatal accident,80,No,Intersection,NORTHERN GRAMPIANS,WESTERN REGION,5,5,4,1,0,0,0,5,0,3,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country,Dry,Clear,0,2,,69.5,2018
1153,1153,146.94223879132053,-36.720973505169354,T20180008549,2018-05-05,22,Yes,Collision with a fixed object,Saturday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,80,Yes,Non-Intersection,ALPINE,NORTH EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,34.0,,2018
1154,1154,145.06267337669698,-37.69201874484111,T20180007661,2018-04-23,16,No,Collision with vehicle,Monday,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,No,Day,T intersection,Fatal accident,50,No,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro,Dry,Clear,2,0,74.0,,2018
1155,1155,145.05746009660885,-37.39043025340597,T20180008555,2018-05-06,2,Yes,Collision with a fixed object,Sunday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,MITCHELL,NORTHERN REGION,5,5,1,1,3,0,4,1,0,4,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,24.0,,2018
1156,1156,145.90369664770438,-36.584235653594156,T20180007687,2018-04-23,17,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,110,Yes,Non-Intersection,BENALLA,NORTH EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Freeway,Freeway,Divided,Div,Country,Dry,Clear,1,0,40.0,,2018
1157,1157,144.8373674711274,-37.7207119792331,T20180008579,2018-05-06,12,No,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Not at intersection,Fatal accident,60,No,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,1,0,45.0,,2018
1158,1158,145.48590345386387,-37.57989823957503,T20180008199,2018-05-01,11,No,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,80,No,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,1,0,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,2,0,43.0,,2018
1159,1159,144.8358503404923,-37.770570040340736,T20180007346,2018-04-18,18,Yes,Struck Pedestrian,Wednesday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,No,Dark Street lights on,Not at intersection,Fatal accident,50,No,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,31.0,,2018
1160,1160,143.63330856750156,-38.26273973247125,T20180007799,2018-04-25,10,No,Collision with vehicle,Wednesday,PULLING OUT (OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,COLAC OTWAY,SOUTH WESTERN REGION,3,3,1,0,2,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,58.0,,2018
1161,1161,143.78437167963062,-36.41964528535336,T20180021622,2018-11-18,14,No,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,LODDON,NORTHERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,51.0,,2018
1162,1162,146.18643110056294,-38.25108043962727,T20180021624,2018-11-18,11,No,Collision with a fixed object,Sunday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,80,Yes,Non-Intersection,BAW BAW,EASTERN REGION,2,2,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,63.0,,2018
1163,1163,143.70624016410102,-37.51137097627238,T20180022090,2018-11-24,20,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Cross intersection,Fatal accident,80,No,Intersection,BALLARAT,WESTERN REGION,7,7,1,4,2,0,2,5,0,5,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country,Dry,Clear,1,1,48.0,21.0,2018
1164,1164,144.93102122597313,-37.69742137596221,T20180022591,2018-12-02,11,No,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Day,Not at intersection,Fatal accident,50,No,Non-Intersection,MORELAND,METROPOLITAN NORTH WEST REGION,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,17.0,,2018
1165,1165,144.99588501041734,-37.83818224742323,T20180021642,2018-11-18,20,Yes,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,T intersection,Fatal accident,40,No,Intersection,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2,2,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,Yes,0,1,0,1,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,Dry,Clear,1,0,27.0,,2018
1166,1166,144.91342342941076,-37.616433372673676,T20180022099,2018-11-25,2,Yes,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights unknown,Cross intersection,Fatal accident,60,No,Intersection,HUME,METROPOLITAN NORTH WEST REGION,6,6,1,4,1,0,4,2,0,4,2,0,0,0,0,0,0,0,0,2,Yes,0,2,0,2,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Unknown,Not known,2,0,21.5,,2018
1167,1167,144.91852506590809,-37.75623533761495,T20180021661,2018-11-19,10,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,T intersection,Fatal accident,60,No,Non-Intersection,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,1,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,1,0,85.0,,2018
1168,1168,144.98652451641124,-37.838321080684146,T20180021773,2018-11-20,14,No,Collision with vehicle,Tuesday,LEFT REAR,No,Day,Cross intersection,Fatal accident,60,No,Intersection,STONNINGTON,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,1,0,0,0,Arterial Highway,"Arterial Highway,Arterial Other",Undivided,Undiv,Metro,Dry,Clear,1,1,38.0,28.0,2018
1169,1169,144.97747958743648,-37.64689764839153,T20190003953,2019-03-01,1,Yes,Vehicle overturned (no collision),Friday,OFF CARRIAGEWAY ON LEFT BEND,No,Dark Street lights on,Not at intersection,Fatal accident,80,Yes,Non-Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2,2,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,0,1,,15.0,2019
