,OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,FD_FIRST_DATE_OF_YEAR,FD_YESTERDAY_DATE_OF_YEAR,INCLUDE_IN_EQUIVALENT_PERIOD,ACCIDENT_TIME,NODE_ID,PERSON_ID,SEX,AGE,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,NO_OF_VEHICLES,LGA_NAME,STAT_DIV_NAME,NODE_TYPE,NODE_TYPE_DESC,ROAD_NUM,ROAD_TYPE,X,Y,LOCATION_COUNT,yr
1056,1996266,T20170008019,2017-04-21T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,193000,316552,A,M,54,2,Drivers,4,Collision with a fixed object,1,MURRINDINDI,Country,N,Non Intersection,2720,Declared Road,,,1,2017
1057,1996267,T20170024927,2017-12-20T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,173000,325409,A,M,47,4,Motorcyclists,8,No collision and no object struck,1,MOYNE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
1061,1996271,T20150011529,2015-05-30T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,164500,289794,A,M,18,2,Drivers,1,Collision with vehicle,2,SOUTH GIPPSLAND,Country,I,Intersection,5591,Declared Road,,,1,2015
1064,1996274,T20180016697,2018-09-04T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,55000,337626,A,M,37,2,Drivers,5,Collision with some other object,1,MACEDON RANGES,Country,N,Non Intersection,5821,Declared Road,,,1,2018
1067,1996277,T20160005396,2016-03-10T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,60000,300689,E,M,43,2,Drivers,1,Collision with vehicle,5,MELTON,Melbourne - West,N,Non Intersection,5042,Declared Road,,,2,2016
1072,1996282,T20150001921,2015-01-28T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,63500,281418,A,M,20,2,Drivers,4,Collision with a fixed object,1,MITCHELL,Country,N,Non Intersection,2540,Declared Road,,,4,2015
1075,1996285,T20150008771,2015-04-25T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,183500,254377,A,M,27,4,Motorcyclists,4,Collision with a fixed object,1,WYNDHAM,Melbourne - West,I,Intersection,5588,Declared Road,,,1,2015
1076,1996286,T20170024187,2017-12-18T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161000,324953,A,M,46,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,N,Non Intersection,5369,Declared Road,,,1,2017
1077,1996287,T20180000400,2018-01-07T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,200000,327123,A,M,41,2,Drivers,4,Collision with a fixed object,1,ALPINE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2018
1083,1996293,T20180002258,2018-02-05T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,144500,326800,A,M,68,2,Drivers,4,Collision with a fixed object,1,HORSHAM,Country,N,Non Intersection,5139,Declared Road,,,1,2018
1084,1996294,T20160023125,2016-10-25T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,141500,309809,A,F,48,2,Drivers,4,Collision with a fixed object,1,CENTRAL GOLDFIELDS,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2016
1085,1996295,T20160004994,2016-03-05T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,71000,300512,A,M,24,2,Drivers,4,Collision with a fixed object,1,MOORABOOL,Country,N,Non Intersection,2520,Declared Road,,,1,2016
1087,1996297,T20140026992,2014-12-29T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,84500,279697,A,M,34,4,Motorcyclists,1,Collision with vehicle,2,MELBOURNE,Melbourne - Inner,N,Non Intersection,9999,Non Declared Road,,,1,2014
1088,1996298,T20180007661,2018-04-23T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161000,29518,A,M,89,2,Drivers,1,Collision with vehicle,2,WHITTLESEA,Melbourne - North East,I,Intersection,2140,Declared Road,,,1,2018
1089,1996299,T20180014012,2018-07-26T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,2900,332848,A,M,30,4,Motorcyclists,7,Fall from or in moving vehicle,3,HOBSONS BAY,Melbourne - West,N,Non Intersection,7026,Declared Road,,,1,2018
1092,1996302,T20170023908,2017-12-14T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,110000,325024,A,M,55,2,Drivers,1,Collision with vehicle,2,SURF COAST,Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
1093,1996303,T20180003144,2018-02-18T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,125000,330053,C,M,30,4,Motorcyclists,1,Collision with vehicle,3,CARDINIA,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2018
1095,1996305,T20140001690,2014-01-25T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,153500,266126,A,M,22,4,Motorcyclists,4,Collision with a fixed object,1,BAW BAW,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
1099,1996309,T20150003299,2015-02-15T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,64000,282230,A,M,39,2,Drivers,4,Collision with a fixed object,1,GLENELG,Country,N,Non Intersection,5148,Declared Road,,,3,2015
1100,1996310,T20170017339,2017-09-08T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,194200,321352,A,M,52,4,Motorcyclists,1,Collision with vehicle,2,MOORABOOL,Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
1104,1996314,T20170015835,2017-08-15T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,181500,320393,A,F,80,2,Drivers,1,Collision with vehicle,2,SOUTHERN GRAMPIANS,Country,N,Non Intersection,2670,Declared Road,,,1,2017
1106,1996316,T20160028128,2016-12-30T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,164000,312400,B,M,40,4,Motorcyclists,1,Collision with vehicle,3,MANSFIELD,Country,N,Non Intersection,5501,Declared Road,,,2,2016
1107,1996317,T20160028128,2016-12-30T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,164000,312400,C,M,32,4,Motorcyclists,1,Collision with vehicle,3,MANSFIELD,Country,N,Non Intersection,5501,Declared Road,,,2,2016
1109,1996319,T20150016814,2015-08-12T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,225800,292888,A,M,57,2,Drivers,6,Vehicle overturned (no collision),1,DANDENONG,Melbourne - Inner South,N,Non Intersection,2400,Declared Road,,,1,2015
1110,1996320,T20170004423,2017-03-04T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,122200,314750,A,M,26,2,Drivers,4,Collision with a fixed object,1,WYNDHAM,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1,2017
1114,1996324,T20180018362,2018-09-29T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,224900,337565,A,M,20,2,Drivers,4,Collision with a fixed object,1,MORNINGTON PENINSULA,Metro,N,Non Intersection,5751,Declared Road,,,1,2018
1115,1996325,T20140020210,2014-09-30T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,171900,275547,A,M,23,2,Drivers,4,Collision with a fixed object,1,SWAN HILL,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
1117,1996327,T20160019601,2016-09-07T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,180000,42157,A,M,43,4,Motorcyclists,1,Collision with vehicle,2,GLEN EIRA,Melbourne - Inner South,I,Intersection,5845,Declared Road,,,1,2016
1118,1996328,T20140003747,2014-02-22T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,163000,270760,B,M,59,2,Drivers,1,Collision with vehicle,3,SOUTH GIPPSLAND,Country,N,Non Intersection,2180,Declared Road,,,1,2014
1121,1996331,T20170022393,2017-11-23T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,120700,323968,A,M,37,2,Drivers,8,No collision and no object struck,1,ARARAT,Country,N,Non Intersection,5109,Declared Road,,,1,2017
1122,1996332,T20160016189,2016-07-24T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,172500,306579,A,F,18,2,Drivers,4,Collision with a fixed object,1,BAW BAW,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
1125,1996335,T20180016212,2018-08-28T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,41500,337956,A,M,25,2,Drivers,4,Collision with a fixed object,1,HEPBURN,Ballarat,N,Non Intersection,5154,Declared Road,,,1,2018
1126,1996336,T20170016587,2017-08-27T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,174000,35631,A,F,50,2,Drivers,1,Collision with vehicle,2,DANDENONG,Melbourne - South East,I,Intersection,2580,Declared Road,,,1,2017
1129,1996339,T20170021096,2017-11-05T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,91500,323297,A,M,60,4,Motorcyclists,3,Struck animal,1,MOUNT ALEXANDER,Bendigo,N,Non Intersection,2530,Declared Road,,,1,2017
1131,1996341,T20150021465,2015-10-17T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,81000,295096,A,M,31,2,Drivers,1,Collision with vehicle,2,HORSHAM,Country,N,Non Intersection,2520,Declared Road,,,1,2015
1132,1996342,T20180003453,2018-02-22T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,152500,331574,A,M,52,4,Motorcyclists,4,Collision with a fixed object,1,COLAC OTWAY,Country,N,Non Intersection,4890,Declared Road,,,1,2018
1133,1996343,T20170011240,2017-06-08T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,151000,318255,A,M,36,2,Drivers,4,Collision with a fixed object,1,STRATHBOGIE,Country,N,Non Intersection,2550,Declared Road,,,1,2017
1134,1996344,T20160010734,2016-05-16T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,91000,303448,A,F,61,2,Drivers,1,Collision with vehicle,2,CASEY,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2016
1136,1996346,T20180014317,2018-07-30T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,234900,337054,A,M,23,2,Drivers,4,Collision with a fixed object,1,HUME,Melbourne - North West,N,Non Intersection,5873,Declared Road,,,1,2018
1138,1996348,T20170012322,2017-06-23T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,171000,318784,A,M,37,4,Motorcyclists,4,Collision with a fixed object,1,MURRINDINDI,Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
1139,1996349,T20170021393,2017-11-10T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,21900,324550,A,M,35,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,N,Non Intersection,5200,Declared Road,,,1,2017
1141,1996351,T20160013492,2016-06-20T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,50000,304963,A,M,41,2,Drivers,4,Collision with a fixed object,1,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,5521,Declared Road,,,1,2016
1142,1996352,T20160009720,2016-05-04T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,114500,303642,A,F,87,2,Drivers,1,Collision with vehicle,2,BALLARAT,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2016
1144,1996354,T20180024488,2018-12-29T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,174500,340699,A,M,52,2,Drivers,4,Collision with a fixed object,1,GOLDEN PLAINS,Ballarat,N,Non Intersection,2670,Declared Road,,,1,2018
1146,1996356,T20170015437,2017-08-09T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,191800,297431,A,F,44,2,Drivers,1,Collision with vehicle,2,CASEY,Melbourne - South East,I,Intersection,2580,Declared Road,,,2,2017
1147,1996357,T20180011123,2018-06-13T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,153000,331552,B,M,34,2,Drivers,1,Collision with vehicle,2,HEPBURN,Ballarat,N,Non Intersection,2590,Declared Road,,,1,2018
1148,1996358,T20180006455,2018-04-05T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,92000,329641,A,F,56,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,N,Non Intersection,2770,Declared Road,,,1,2018
1151,1996361,T20150023627,2015-11-15T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,90500,296105,A,M,32,2,Drivers,1,Collision with vehicle,2,GEELONG,Country,N,Non Intersection,5107,Declared Road,,,1,2015
1152,1996362,T20170011640,2017-06-14T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,103000,318376,A,M,80,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,I,Intersection,5366,Declared Road,,,1,2017
1153,1996363,T20180017367,2018-09-14T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,124000,337979,A,M,65,4,Motorcyclists,4,Collision with a fixed object,1,MURRINDINDI,Country,N,Non Intersection,9999,Non Declared Road,,,1,2018
1157,1996367,T20180008895,2018-05-10T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,224500,331646,A,M,19,4,Motorcyclists,4,Collision with a fixed object,1,MONASH,Melbourne - South East,N,Non Intersection,2510,Declared Road,,,1,2018
1158,1996368,T20150012926,2015-06-17T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,214500,291247,A,F,27,2,Drivers,4,Collision with a fixed object,1,WELLINGTON,Country,N,Non Intersection,5915,Declared Road,,,1,2015
1159,1996369,T20150021923,2015-10-23T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,74700,295272,A,M,28,2,Drivers,4,Collision with a fixed object,1,HUME,Melbourne - North West,N,Non Intersection,7598,Declared Road,,,1,2015
1164,1996374,T20180002654,2018-02-11T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,235400,47705,A,M,30,2,Drivers,1,Collision with vehicle,2,GEELONG,Country,I,Intersection,2800,Declared Road,,,2,2018
1165,1996375,T20180002654,2018-02-11T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,235400,47705,B,M,46,2,Drivers,1,Collision with vehicle,2,GEELONG,Country,I,Intersection,2800,Declared Road,,,2,2018
1166,1996376,T20170002598,2017-02-09T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,140000,313840,A,M,62,2,Drivers,5,Collision with some other object,1,MACEDON RANGES,Country,N,Non Intersection,5190,Declared Road,,,1,2017
1167,1996377,T20160026749,2016-12-11T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,185500,296936,B,M,48,4,Motorcyclists,1,Collision with vehicle,2,INDIGO,Country,I,Intersection,2570,Declared Road,,,1,2016
1168,1996378,T20180009807,2018-05-24T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,130000,330760,A,M,46,2,Drivers,4,Collision with a fixed object,1,MOUNT ALEXANDER,Bendigo,N,Non Intersection,9999,Non Declared Road,,,1,2018
1169,1996379,T20170014068,2017-07-20T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,64500,57432,B,M,45,4,Motorcyclists,1,Collision with vehicle,2,MELBOURNE,Melbourne - Inner,I,Intersection,5069,Declared Road,,,1,2017
1171,1996381,T20180009615,2018-05-21T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,143800,332080,A,M,23,2,Drivers,4,Collision with a fixed object,1,MELBOURNE,Melbourne - Inner,N,Non Intersection,5035,Declared Road,,,1,2018
1172,1996382,T20160005221,2016-03-08T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,143000,301424,A,M,77,2,Drivers,4,Collision with a fixed object,1,WANGARATTA,Country,N,Non Intersection,2550,Declared Road,,,1,2016
1173,1996383,T20170006433,2017-03-30T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,113000,315976,A,M,85,2,Drivers,4,Collision with a fixed object,1,BULOKE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
1176,1996386,T20170009219,2017-05-10T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,150000,317248,A,M,92,2,Drivers,8,No collision and no object struck,0,MOORABOOL,Ballarat,I,Intersection,9999,Non Declared Road,,,1,2017
1177,1996387,T20180002987,2018-02-16T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,55000,327134,A,M,65,2,Drivers,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,2300,Declared Road,,,1,2018
1178,1996388,T20170019308,2017-10-10T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,155000,322384,B,M,44,4,Motorcyclists,1,Collision with vehicle,2,MONASH,Melbourne - South East,N,Non Intersection,5306,Declared Road,,,1,2017
1179,1996389,T20170024810,2017-12-28T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,164400,325312,A,F,79,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
1181,1996391,T20160016270,2016-07-25T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,181200,306257,A,M,23,2,Drivers,4,Collision with a fixed object,1,CORANGAMITE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
1182,1996392,T20140003019,2014-02-14T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,13900,270800,A,F,15,2,Drivers,6,Vehicle overturned (no collision),1,BALLARAT,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2014
1184,1996394,T20150004954,2015-03-07T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,120000,287653,B,M,47,4,Motorcyclists,1,Collision with vehicle,2,EAST GIPPSLAND,Country,N,Non Intersection,4005,Declared Road,,,2,2015
1186,1996396,T20170015876,2017-08-16T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,102000,320454,A,M,82,2,Drivers,1,Collision with vehicle,2,BENALLA,Country,N,Non Intersection,2550,Declared Road,,,1,2017
1187,1996397,T20160018740,2016-08-26T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,182000,307600,A,M,26,4,Motorcyclists,1,Collision with vehicle,2,MONASH,Melbourne - Inner South,N,Non Intersection,2070,Declared Road,,,1,2016
1188,1996398,T20170005341,2017-03-16T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,144700,315819,B,M,28,2,Drivers,1,Collision with vehicle,7,WYNDHAM,Melbourne - West,N,Non Intersection,2500,Declared Road,,,1,2017
1190,1996400,T20180019776,2018-10-21T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,205800,337721,B,M,22,4,Motorcyclists,1,Collision with vehicle,2,MONASH,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2018
1193,1996403,T20180022512,2018-11-30T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,233500,42096,A,M,51,4,Motorcyclists,1,Collision with vehicle,2,BAYSIDE,Melbourne - Inner South,I,Intersection,2660,Declared Road,,,1,2018
1194,1996404,T20180021572,2018-11-17T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,224200,58044,A,M,65,2,Drivers,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,I,Intersection,2750,Declared Road,,,1,2018
1195,1996405,T20180020565,2018-11-02T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,95000,338447,B,M,28,4,Motorcyclists,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,N,Non Intersection,2460,Declared Road,,,1,2018
1196,1996406,T20170024357,2017-12-21T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,2500,325072,A,M,41,2,Drivers,1,Collision with vehicle,3,DAREBIN,Melbourne - North East,N,Non Intersection,5813,Declared Road,,,1,2017
1197,1996407,T20180010981,2018-06-11T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,111000,331411,A,M,56,4,Motorcyclists,1,Collision with vehicle,1,BENDIGO,Bendigo,N,Non Intersection,2540,Declared Road,,,1,2018
1198,1996408,T20180014836,2018-08-07T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,65000,339534,A,M,36,4,Motorcyclists,1,Collision with vehicle,2,MELTON,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1,2018
1199,1996409,T20170012729,2017-06-29T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,171000,318928,A,F,19,2,Drivers,4,Collision with a fixed object,1,BAW BAW,Country,N,Non Intersection,5535,Declared Road,,,1,2017
1203,1996413,T20180015818,2018-08-21T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,172800,337046,A,M,18,2,Drivers,4,Collision with a fixed object,1,CARDINIA,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2018
1204,1996414,T20170022040,2017-11-18T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,222000,323800,A,M,66,2,Drivers,4,Collision with a fixed object,1,SOUTH GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
1205,1996415,T20180021940,2018-11-22T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,141500,339509,B,M,87,2,Drivers,1,Collision with vehicle,2,EAST GIPPSLAND,Country,N,Non Intersection,2510,Declared Road,,,2,2018
1209,1996419,T20170016979,2017-09-03T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,43000,322127,A,M,20,4,Motorcyclists,4,Collision with a fixed object,1,MELTON,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1,2017
1210,1996420,T20150018130,2015-08-31T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,173000,293589,A,F,19,2,Drivers,1,Collision with vehicle,2,MORNINGTON PENINSULA,Metro,N,Non Intersection,2230,Declared Road,,,1,2015
1214,1996424,T20170024389,2017-12-21T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,121900,19409,A,M,71,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,I,Intersection,9999,Non Declared Road,,,1,2017
1216,1996426,T20150019859,2015-09-24T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,211500,41734,A,M,48,2,Drivers,4,Collision with a fixed object,1,MONASH,Melbourne - South East,I,Intersection,5799,Declared Road,,,1,2015
1219,1996429,T20170008131,2017-04-23T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,162000,317474,B,M,27,4,Motorcyclists,1,Collision with vehicle,2,(FRENCH ISLAND),Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
